,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016
0,01001,0.0,0.0,0.0,0.0,0.0
1,01003,-1.0,0.0,0.0,0.0,-2.0
2,01005,0.0,0.0,0.0,0.0,1.0
3,01007,0.0,0.0,0.0,0.0,1.0
4,01009,0.0,0.0,0.0,0.0,-1.0
5,01011,0.0,0.0,0.0,0.0,0.0
6,01015,0.0,0.0,0.0,0.0,-1.0
7,01017,0.0,0.0,0.0,0.0,0.0
8,01019,0.0,0.0,0.0,0.0,0.0
9,01021,0.0,1.0,0.0,0.0,-1.0
10,01023,0.0,-1.0,0.0,0.0,-1.0
11,01025,0.0,0.0,0.0,1.0,-1.0
12,01029,0.0,0.0,0.0,0.0,-1.0
13,01031,0.0,0.0,1.0,-2.0,0.0
14,01033,0.0,0.0,-1.0,1.0,0.0
15,01035,0.0,0.0,0.0,-1.0,-2.0
16,01037,0.0,0.0,0.0,0.0,0.0
17,01039,0.0,-1.0,0.0,0.0,0.0
18,01041,0.0,0.0,0.0,0.0,0.0
19,01043,1.0,0.0,1.0,-1.0,2.0
20,01045,0.0,0.0,0.0,1.0,0.0
21,01047,0.0,0.0,0.0,0.0,1.0
22,01049,0.0,-1.0,0.0,0.0,-1.0
23,01051,0.0,0.0,0.0,0.0,1.0
24,01053,0.0,0.0,0.0,0.0,3.0
25,01055,0.0,0.0,1.0,0.0,0.0
26,01057,-1.0,0.0,0.0,0.0,0.0
27,01061,0.0,0.0,0.0,0.0,-2.0
28,01063,0.0,0.0,0.0,0.0,0.0
29,01067,0.0,0.0,0.0,0.0,1.0
30,01069,0.0,1.0,0.0,0.0,0.0
31,01071,1.0,0.0,0.0,0.0,1.0
32,01073,0.0,-1.0,0.0,0.0,-3.0
33,01075,0.0,0.0,0.0,0.0,-1.0
34,01079,1.0,-1.0,0.0,0.0,0.0
35,01081,0.0,0.0,0.0,0.0,0.0
36,01083,0.0,0.0,0.0,0.0,-1.0
37,01085,1.0,0.0,0.0,-1.0,1.0
38,01087,0.0,0.0,0.0,1.0,1.0
39,01089,0.0,0.0,0.0,0.0,0.0
40,01091,0.0,0.0,0.0,-1.0,-1.0
41,01093,0.0,0.0,0.0,0.0,-1.0
42,01095,0.0,0.0,-1.0,1.0,0.0
43,01097,0.0,-1.0,-1.0,0.0,1.0
44,01099,0.0,0.0,0.0,0.0,-3.0
45,01101,0.0,-1.0,1.0,0.0,-1.0
46,01103,0.0,0.0,0.0,0.0,1.0
47,01107,-1.0,0.0,0.0,0.0,-2.0
48,01109,0.0,0.0,-1.0,1.0,1.0
49,01111,0.0,0.0,0.0,0.0,-1.0
50,01113,0.0,0.0,0.0,0.0,1.0
51,01115,0.0,-2.0,2.0,-2.0,-1.0
52,01117,0.0,0.0,0.0,0.0,0.0
53,01119,0.0,-1.0,-1.0,0.0,-3.0
54,01121,0.0,0.0,-1.0,0.0,-1.0
55,01123,0.0,0.0,0.0,0.0,0.0
56,01125,-1.0,2.0,0.0,0.0,1.0
57,01127,0.0,-1.0,0.0,0.0,-1.0
58,01131,0.0,0.0,0.0,0.0,-1.0
59,01133,0.0,-1.0,0.0,0.0,-1.0
60,02020,0.0,0.0,0.0,0.0,0.0
61,02066,0.0,1.0,0.0,0.0,1.0
62,02068,0.0,0.0,0.0,0.0,0.0
63,02090,0.0,1.0,0.0,0.0,1.0
64,02100,0.0,0.0,0.0,0.0,0.0
65,02122,0.0,0.0,0.0,0.0,3.0
66,02170,0.0,0.0,0.0,0.0,1.0
67,02240,0.0,0.0,0.0,0.0,-1.0
68,02290,0.0,0.0,0.0,0.0,0.0
69,04001,0.0,0.0,0.0,0.0,0.0
70,04003,0.0,0.0,0.0,1.0,1.0
71,04005,-1.0,1.0,0.0,1.0,0.0
72,04007,0.0,0.0,0.0,0.0,0.0
73,04009,0.0,0.0,0.0,0.0,0.0
74,04012,1.0,1.0,0.0,0.0,2.0
75,04013,1.0,0.0,1.0,0.0,4.0
76,04015,0.0,0.0,1.0,-1.0,1.0
77,04017,0.0,0.0,0.0,0.0,0.0
78,04019,0.0,0.0,0.0,0.0,0.0
79,04021,0.0,0.0,0.0,0.0,0.0
80,04023,-1.0,0.0,0.0,0.0,0.0
81,04025,1.0,0.0,0.0,0.0,0.0
