,ZIP3,exit_2007,exit_2008,exit_2015,exit_2016,exit_2006_2016
0,010,0.0,-1.0,0.0,0.0,-1.0
1,011,0.0,0.0,0.0,0.0,-1.0
2,012,0.0,0.0,0.0,0.0,-2.0
3,014,0.0,0.0,0.0,0.0,-4.0
4,015,-1.0,-1.0,0.0,0.0,-1.0
5,016,0.0,0.0,0.0,0.0,0.0
6,017,0.0,0.0,0.0,0.0,0.0
7,018,0.0,0.0,0.0,0.0,-1.0
8,019,0.0,0.0,0.0,0.0,0.0
9,020,0.0,0.0,0.0,0.0,0.0
10,021,0.0,0.0,0.0,0.0,-1.0
11,023,0.0,0.0,0.0,0.0,0.0
12,024,0.0,0.0,-1.0,0.0,0.0
13,026,0.0,-1.0,0.0,0.0,-1.0
14,027,-1.0,-1.0,0.0,-1.0,-5.0
15,028,0.0,0.0,0.0,0.0,0.0
16,029,0.0,0.0,0.0,0.0,-1.0
17,030,-1.0,0.0,0.0,0.0,-6.0
18,031,-1.0,0.0,0.0,-1.0,-2.0
19,032,0.0,0.0,0.0,0.0,-1.0
20,033,0.0,0.0,0.0,0.0,-2.0
21,034,0.0,0.0,-1.0,0.0,-2.0
22,035,0.0,0.0,0.0,0.0,-5.0
23,037,0.0,0.0,0.0,0.0,0.0
24,038,-2.0,0.0,0.0,0.0,-3.0
25,039,0.0,0.0,0.0,0.0,-1.0
26,040,0.0,-1.0,-1.0,0.0,-2.0
27,041,-1.0,0.0,0.0,0.0,-2.0
28,042,0.0,0.0,0.0,-1.0,-2.0
29,043,0.0,0.0,-1.0,0.0,-2.0
30,044,0.0,0.0,0.0,0.0,-1.0
31,046,0.0,0.0,0.0,0.0,0.0
32,047,0.0,0.0,0.0,0.0,-2.0
33,048,0.0,0.0,0.0,0.0,0.0
34,049,0.0,0.0,0.0,0.0,-2.0
35,050,0.0,0.0,0.0,0.0,0.0
36,051,0.0,0.0,0.0,0.0,0.0
37,053,0.0,0.0,-1.0,0.0,-1.0
38,054,0.0,0.0,-1.0,0.0,-4.0
39,056,0.0,0.0,0.0,0.0,0.0
40,057,0.0,0.0,0.0,0.0,0.0
41,058,0.0,0.0,0.0,0.0,0.0
42,060,0.0,0.0,0.0,0.0,-1.0
43,061,0.0,0.0,0.0,0.0,0.0
44,062,0.0,0.0,0.0,0.0,0.0
45,063,-1.0,0.0,-1.0,0.0,0.0
46,064,-2.0,0.0,-2.0,0.0,-5.0
47,066,0.0,0.0,0.0,0.0,-1.0
48,067,0.0,0.0,0.0,0.0,-1.0
49,068,0.0,0.0,-2.0,0.0,-1.0
50,070,-3.0,-2.0,0.0,-1.0,-11.0
51,071,0.0,0.0,0.0,0.0,0.0
52,072,0.0,0.0,0.0,-1.0,-2.0
53,073,0.0,-1.0,0.0,-1.0,-3.0
54,074,-1.0,0.0,0.0,0.0,-2.0
55,075,-1.0,0.0,0.0,0.0,-2.0
56,076,0.0,0.0,0.0,0.0,0.0
57,077,0.0,0.0,0.0,0.0,-3.0
58,078,0.0,0.0,0.0,-2.0,-1.0
59,080,-1.0,-1.0,0.0,-1.0,-5.0
60,081,0.0,0.0,0.0,0.0,0.0
61,082,0.0,-1.0,0.0,0.0,-1.0
62,083,0.0,0.0,0.0,-1.0,-1.0
63,085,-2.0,0.0,0.0,0.0,-4.0
64,086,0.0,0.0,0.0,0.0,-1.0
65,087,0.0,0.0,0.0,0.0,0.0
66,088,-1.0,0.0,0.0,-1.0,-7.0
67,089,0.0,0.0,0.0,0.0,-1.0
68,105,0.0,0.0,0.0,0.0,-1.0
69,109,0.0,0.0,0.0,-1.0,-1.0
70,111,0.0,0.0,0.0,0.0,-2.0
71,114,0.0,0.0,0.0,0.0,0.0
72,117,0.0,0.0,0.0,0.0,0.0
73,120,-1.0,-1.0,0.0,0.0,-4.0
74,121,-1.0,0.0,0.0,0.0,-2.0
75,122,0.0,0.0,0.0,0.0,-1.0
76,123,0.0,0.0,0.0,0.0,-1.0
77,124,-1.0,0.0,0.0,0.0,-1.0
78,125,0.0,-1.0,0.0,0.0,-2.0
79,127,0.0,0.0,0.0,0.0,-2.0
80,128,-1.0,0.0,0.0,0.0,-3.0
81,129,-1.0,-1.0,0.0,-1.0,-3.0
82,130,0.0,-1.0,0.0,-1.0,-2.0
83,131,0.0,-1.0,0.0,0.0,-5.0
84,132,0.0,0.0,0.0,0.0,0.0
85,133,0.0,0.0,0.0,0.0,-4.0
86,134,0.0,0.0,0.0,0.0,-1.0
87,135,0.0,0.0,0.0,0.0,0.0
88,136,-2.0,0.0,0.0,-1.0,-4.0
89,137,0.0,0.0,0.0,0.0,0.0
90,138,0.0,0.0,0.0,0.0,-1.0
91,139,0.0,0.0,0.0,0.0,0.0
92,140,-1.0,0.0,-1.0,0.0,-3.0
93,141,0.0,0.0,0.0,0.0,0.0
94,142,0.0,0.0,-1.0,0.0,0.0
95,143,0.0,0.0,0.0,0.0,0.0
96,144,0.0,0.0,-1.0,0.0,-3.0
97,145,0.0,0.0,0.0,0.0,-3.0
98,146,0.0,0.0,0.0,0.0,0.0
99,147,0.0,-1.0,0.0,0.0,-2.0
100,148,-1.0,-1.0,0.0,0.0,-4.0
101,150,0.0,0.0,-1.0,-1.0,-3.0
102,151,-1.0,0.0,0.0,-1.0,-4.0
103,152,0.0,-1.0,0.0,0.0,-3.0
104,153,0.0,0.0,-1.0,0.0,-2.0
105,154,0.0,0.0,0.0,0.0,-1.0
106,155,0.0,-1.0,0.0,0.0,-1.0
107,156,0.0,-1.0,0.0,0.0,-2.0
108,157,-1.0,0.0,0.0,0.0,-1.0
109,158,0.0,0.0,0.0,0.0,0.0
110,159,0.0,0.0,0.0,0.0,0.0
111,160,-2.0,0.0,0.0,0.0,-3.0
112,161,0.0,0.0,0.0,0.0,0.0
113,162,0.0,0.0,0.0,0.0,-1.0
114,163,-1.0,0.0,0.0,-1.0,-2.0
115,164,0.0,-1.0,0.0,0.0,-2.0
116,165,0.0,0.0,0.0,-1.0,-2.0
117,166,-1.0,-1.0,0.0,0.0,-2.0
118,167,0.0,0.0,0.0,0.0,0.0
119,168,0.0,0.0,0.0,0.0,0.0
120,169,0.0,0.0,0.0,0.0,-1.0
121,170,-1.0,0.0,0.0,0.0,-9.0
122,171,0.0,0.0,0.0,0.0,-2.0
123,172,0.0,0.0,0.0,0.0,-3.0
124,173,0.0,0.0,0.0,-1.0,-4.0
125,174,0.0,0.0,0.0,0.0,0.0
126,175,-1.0,0.0,0.0,-1.0,-4.0
127,177,0.0,0.0,0.0,0.0,-4.0
128,178,0.0,0.0,-1.0,0.0,-2.0
129,179,0.0,0.0,0.0,-1.0,-4.0
