,year,county,cnt
0,2006,01001,1
1,2006,01003,7
2,2006,01009,1
3,2006,01011,1
4,2006,01015,2
5,2006,01017,2
6,2006,01019,1
7,2006,01021,8
8,2006,01023,3
9,2006,01025,8
10,2006,01029,4
11,2006,01031,3
12,2006,01033,6
13,2006,01035,6
14,2006,01037,1
15,2006,01039,3
16,2006,01041,1
17,2006,01043,5
18,2006,01045,6
19,2006,01047,3
20,2006,01049,3
21,2006,01051,1
22,2006,01053,8
23,2006,01055,4
24,2006,01057,3
25,2006,01061,2
26,2006,01063,3
27,2006,01067,3
28,2006,01069,5
29,2006,01071,3
30,2006,01073,12
31,2006,01075,1
32,2006,01079,4
33,2006,01081,3
34,2006,01083,1
35,2006,01085,1
36,2006,01087,3
37,2006,01089,1
38,2006,01091,2
39,2006,01093,5
40,2006,01095,2
41,2006,01097,8
42,2006,01099,4
43,2006,01101,4
44,2006,01103,5
45,2006,01107,3
46,2006,01109,2
47,2006,01111,2
48,2006,01113,1
49,2006,01115,4
50,2006,01117,4
51,2006,01119,5
52,2006,01121,8
53,2006,01123,2
54,2006,01125,7
55,2006,01127,3
56,2006,01131,1
57,2006,01133,3
58,2006,02020,1
59,2006,02066,2
60,2006,02068,1
61,2006,02100,1
62,2006,02170,1
63,2006,02240,5
64,2006,02290,2
65,2006,04001,2
66,2006,04003,2
67,2006,04005,6
68,2006,04007,1
69,2006,04009,2
70,2006,04012,3
71,2006,04013,13
72,2006,04015,7
73,2006,04017,6
74,2006,04019,3
75,2006,04023,2
76,2006,04025,3
77,2006,04027,5
78,2006,05001,3
79,2006,05003,2
80,2006,05005,2
81,2006,05007,3
82,2006,05009,2
83,2006,05011,1
84,2006,05013,1
85,2006,05015,1
86,2006,05017,2
87,2006,05019,4
88,2006,05027,2
89,2006,05029,1
90,2006,05033,2
91,2006,05035,10
92,2006,05037,1
93,2006,05039,2
94,2006,05043,1
95,2006,05045,2
96,2006,05047,3
97,2006,05049,1
98,2006,05055,1
99,2006,05057,2
100,2006,05059,2
101,2006,05061,2
102,2006,05063,1
103,2006,05067,1
104,2006,05069,4
105,2006,05071,3
106,2006,05073,1
107,2006,05075,1
108,2006,05079,2
109,2006,05081,2
110,2006,05085,3
111,2006,05087,1
112,2006,05091,2
113,2006,05093,4
114,2006,05095,1
115,2006,05099,4
116,2006,05103,2
117,2006,05107,1
118,2006,05109,1
119,2006,05111,3
120,2006,05113,1
121,2006,05115,4
122,2006,05117,1
123,2006,05119,11
124,2006,05123,7
125,2006,05125,3
126,2006,05127,2
127,2006,05129,1
128,2006,05131,5
129,2006,05133,1
130,2006,05139,4
131,2006,05141,3
132,2006,05143,3
133,2006,05145,3
134,2006,05147,1
135,2006,06001,5
136,2006,06007,1
137,2006,06013,3
138,2006,06019,11
139,2006,06021,1
140,2006,06023,3
141,2006,06025,5
142,2006,06027,2
143,2006,06029,21
144,2006,06031,2
145,2006,06033,3
146,2006,06037,26
147,2006,06039,4
148,2006,06045,1
149,2006,06047,5
150,2006,06051,3
151,2006,06053,3
152,2006,06059,3
153,2006,06063,1
154,2006,06065,13
155,2006,06067,2
156,2006,06069,1
157,2006,06071,27
158,2006,06073,8
159,2006,06077,11
160,2006,06079,3
161,2006,06081,2
162,2006,06085,4
163,2006,06089,2
164,2006,06093,1
165,2006,06095,1
166,2006,06097,1
167,2006,06099,4
168,2006,06101,2
169,2006,06103,3
170,2006,06107,11
171,2006,06111,3
172,2006,06113,4
173,2006,08001,9
174,2006,08003,4
175,2006,08005,2
176,2006,08009,3
177,2006,08013,3
178,2006,08015,3
179,2006,08017,1
180,2006,08019,1
181,2006,08025,1
182,2006,08031,5
183,2006,08035,1
184,2006,08041,4
185,2006,08043,1
186,2006,08045,1
187,2006,08055,1
188,2006,08059,2
189,2006,08061,1
190,2006,08063,5
191,2006,08067,1
192,2006,08069,1
193,2006,08071,2
194,2006,08073,4
195,2006,08075,4
196,2006,08077,4
197,2006,08081,1
198,2006,08083,2
199,2006,08085,2
200,2006,08087,5
201,2006,08089,2
202,2006,08099,3
203,2006,08101,5
204,2006,08105,1
205,2006,08109,1
206,2006,08115,1
207,2006,08123,7
208,2006,08125,2
209,2006,09001,2
210,2006,09003,2
211,2006,09005,1
212,2006,09007,1
213,2006,09009,8
214,2006,09011,2
215,2006,09013,2
216,2006,09015,1
217,2006,10001,1
218,2006,10003,7
219,2006,10005,7
220,2006,12001,1
221,2006,12003,3
222,2006,12005,3
223,2006,12009,6
224,2006,12011,6
225,2006,12015,3
226,2006,12019,3
227,2006,12021,1
228,2006,12023,3
229,2006,12027,1
230,2006,12031,11
231,2006,12033,4
232,2006,12039,3
233,2006,12047,1
234,2006,12051,3
235,2006,12053,1
236,2006,12055,4
237,2006,12057,13
238,2006,12061,3
239,2006,12063,7
240,2006,12065,2
241,2006,12067,1
242,2006,12069,2
243,2006,12071,3
244,2006,12079,3
245,2006,12081,2
246,2006,12083,5
247,2006,12086,9
248,2006,12091,1
249,2006,12093,2
250,2006,12095,6
251,2006,12097,4
252,2006,12099,2
253,2006,12101,2
254,2006,12103,3
255,2006,12105,8
256,2006,12107,1
257,2006,12109,4
258,2006,12111,5
259,2006,12117,1
260,2006,12119,5
261,2006,12121,1
262,2006,12123,2
263,2006,12125,1
264,2006,12127,2
265,2006,12129,1
266,2006,12131,2
267,2006,13001,1
268,2006,13003,3
269,2006,13005,2
270,2006,13011,2
271,2006,13013,3
272,2006,13015,7
273,2006,13017,1
274,2006,13021,4
275,2006,13023,1
276,2006,13029,2
277,2006,13031,3
278,2006,13035,6
279,2006,13039,7
280,2006,13043,2
281,2006,13045,5
282,2006,13047,3
283,2006,13049,1
284,2006,13051,8
285,2006,13059,2
286,2006,13063,4
287,2006,13065,1
288,2006,13067,3
289,2006,13069,4
290,2006,13071,3
291,2006,13073,3
292,2006,13075,2
293,2006,13077,3
294,2006,13081,2
295,2006,13083,4
296,2006,13087,5
297,2006,13089,9
298,2006,13091,1
299,2006,13093,4
300,2006,13095,5
301,2006,13097,2
302,2006,13101,4
303,2006,13103,1
304,2006,13105,2
305,2006,13107,2
306,2006,13115,3
307,2006,13117,1
308,2006,13119,4
309,2006,13121,8
310,2006,13127,5
311,2006,13129,2
312,2006,13131,2
313,2006,13135,1
314,2006,13137,1
315,2006,13139,5
316,2006,13143,5
317,2006,13145,2
318,2006,13151,4
319,2006,13153,3
320,2006,13155,1
321,2006,13157,4
322,2006,13161,2
323,2006,13163,3
324,2006,13165,1
325,2006,13169,1
326,2006,13171,1
327,2006,13175,7
328,2006,13179,1
329,2006,13181,1
330,2006,13185,3
331,2006,13189,2
332,2006,13191,1
333,2006,13205,2
334,2006,13207,1
335,2006,13209,1
336,2006,13211,3
337,2006,13213,2
338,2006,13215,4
339,2006,13217,1
340,2006,13219,1
341,2006,13223,1
342,2006,13225,5
343,2006,13227,1
344,2006,13233,2
345,2006,13237,2
346,2006,13239,1
347,2006,13245,10
348,2006,13251,1
349,2006,13253,1
350,2006,13259,1
351,2006,13261,3
352,2006,13265,1
353,2006,13271,1
354,2006,13273,2
355,2006,13275,6
356,2006,13277,2
357,2006,13279,3
358,2006,13285,5
359,2006,13287,3
360,2006,13289,2
361,2006,13293,1
362,2006,13299,2
363,2006,13303,2
364,2006,13305,2
365,2006,13311,1
366,2006,13313,4
367,2006,13317,2
368,2006,13321,1
369,2006,16001,2
370,2006,16003,1
371,2006,16005,8
372,2006,16007,1
373,2006,16009,1
374,2006,16011,4
375,2006,16017,2
376,2006,16019,5
377,2006,16021,2
378,2006,16027,7
379,2006,16029,1
380,2006,16031,1
381,2006,16033,2
382,2006,16035,1
383,2006,16039,3
384,2006,16047,2
385,2006,16049,1
386,2006,16051,1
387,2006,16053,4
388,2006,16055,3
389,2006,16059,1
390,2006,16067,2
391,2006,16069,2
392,2006,16073,1
393,2006,16079,2
394,2006,16083,1
395,2006,17001,1
396,2006,17007,3
397,2006,17009,2
398,2006,17011,1
399,2006,17017,2
400,2006,17019,3
401,2006,17023,1
402,2006,17027,1
403,2006,17031,15
404,2006,17035,2
405,2006,17037,2
406,2006,17041,3
407,2006,17043,5
408,2006,17049,7
409,2006,17051,2
410,2006,17055,2
411,2006,17063,2
412,2006,17073,2
413,2006,17075,4
414,2006,17081,5
415,2006,17085,1
416,2006,17087,1
417,2006,17089,6
418,2006,17091,1
419,2006,17093,3
420,2006,17095,3
421,2006,17097,6
422,2006,17099,11
423,2006,17103,1
424,2006,17105,3
425,2006,17107,2
426,2006,17109,1
427,2006,17113,9
428,2006,17115,4
429,2006,17119,5
430,2006,17125,1
431,2006,17127,2
432,2006,17135,2
433,2006,17137,2
434,2006,17141,4
435,2006,17143,4
436,2006,17149,2
437,2006,17153,1
438,2006,17159,1
439,2006,17161,3
440,2006,17163,3
441,2006,17167,5
442,2006,17169,1
443,2006,17171,1
444,2006,17177,1
445,2006,17179,3
446,2006,17183,3
447,2006,17187,1
448,2006,17189,3
449,2006,17193,2
450,2006,17195,3
451,2006,17197,9
452,2006,17199,1
453,2006,17201,11
454,2006,17203,4
455,2006,18001,2
456,2006,18003,6
457,2006,18005,1
458,2006,18007,1
459,2006,18011,4
460,2006,18017,1
461,2006,18019,2
462,2006,18021,3
463,2006,18023,1
464,2006,18025,2
465,2006,18027,1
466,2006,18029,2
467,2006,18031,1
468,2006,18033,3
469,2006,18035,6
470,2006,18037,1
471,2006,18039,9
472,2006,18043,1
473,2006,18045,1
474,2006,18049,1
475,2006,18051,5
476,2006,18053,4
477,2006,18055,4
478,2006,18059,2
479,2006,18063,3
480,2006,18065,3
481,2006,18067,3
482,2006,18069,2
483,2006,18071,2
484,2006,18073,8
485,2006,18075,1
486,2006,18077,1
487,2006,18081,5
488,2006,18083,1
489,2006,18085,2
490,2006,18087,3
491,2006,18089,15
492,2006,18091,8
493,2006,18093,1
494,2006,18097,4
495,2006,18099,2
496,2006,18101,1
497,2006,18103,1
498,2006,18105,1
499,2006,18107,2
500,2006,18111,3
501,2006,18127,8
502,2006,18129,1
