REPORT_DATE,VEHICLES_IN_ACCIDENT,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2005-12-09,5.0,32003,32003,-3.0,1,0,0
2005-12-28,5.0,48453,48453,-3.0,1,0,0
2005-08-12,5.0,34039,34039,-3.0,1,0,0
2005-10-03,5.0,34003,34003,-1.0,1,0,0
2005-11-02,5.0,36037,36037,-4.0,1,0,0
2005-10-07,5.0,27037,27037,-2.0,1,0,0
2005-08-26,7.0,29189,29189,-2.0,1,0,0
2005-03-04,5.0,24005,24005,-1.0,1,0,0
2005-07-10,5.0,48027,48027,-2.0,1,0,0
2005-05-03,6.0,34017,34017,-2.0,1,0,0
2005-07-11,5.0,04005,04005,0.0,1,0,0
2005-07-24,5.0,32031,32031,-1.0,1,0,0
2005-07-27,5.0,26163,26163,-5.0,1,0,0
2004-11-18,5.0,24005,24005,-1.0,1,0,0
2005-02-04,5.0,23009,23009,0.0,1,0,0
2005-06-04,7.0,55025,55025,-2.0,1,0,0
2005-02-01,5.0,27093,27093,0.0,1,0,0
2005-03-21,6.0,48453,48453,-3.0,1,0,0
2004-11-21,5.0,06037,06037,-6.0,1,0,0
2005-03-27,5.0,47145,47145,0.0,1,0,0
2005-03-01,5.0,47189,47189,0.0,1,0,0
2004-10-25,6.0,06081,06081,0.0,1,0,0
2004-10-29,5.0,04005,04005,0.0,1,0,0
2005-01-06,6.0,12097,12097,-1.0,1,0,0
2004-10-05,5.0,34039,34039,-3.0,1,0,0
2004-11-18,5.0,06037,06037,-6.0,1,0,0
2004-09-07,14.0,12019,12019,0.0,1,0,0
2004-08-04,9.0,26091,26091,0.0,1,0,0
2004-07-15,7.0,06037,06037,-6.0,1,0,0
2004-08-23,6.0,27171,27171,0.0,1,0,0
2004-07-09,6.0,48201,48201,0.0,1,0,0
2004-05-24,8.0,55135,55135,-1.0,1,0,0
2004-06-29,6.0,20115,20115,0.0,1,0,0
2004-06-29,6.0,20115,20115,0.0,1,0,0
2004-07-21,5.0,34039,34039,-3.0,1,0,0
2004-06-21,9.0,08031,08031,-3.0,1,0,0
2004-06-24,8.0,06001,06001,0.0,1,0,0
2003-12-09,6.0,20053,20053,0.0,1,0,0
2004-02-18,7.0,55031,55031,-1.0,1,0,0
2004-04-16,5.0,49049,49049,-2.0,1,0,0
2004-01-26,6.0,26151,26151,0.0,1,0,0
2004-03-20,9.0,48245,48245,0.0,1,0,0
2003-09-16,5.0,36075,36075,0.0,1,0,0
2004-01-26,6.0,26151,26151,0.0,1,0,0
2004-02-05,9.0,29189,29189,-2.0,1,0,0
2000-09-11,5.0,06037,06037,-6.0,0,1,0
2004-02-03,5.0,29163,29163,-1.0,1,0,0
2003-12-03,5.0,04021,04021,0.0,1,0,0
2003-12-03,5.0,04021,04021,0.0,1,0,0
2003-09-17,6.0,34003,34003,-1.0,1,0,0
2003-11-08,6.0,04025,04025,0.0,1,0,0
2003-05-24,5.0,24005,24005,-1.0,1,0,0
2003-10-14,7.0,53033,53033,-3.0,1,0,0
2003-05-20,5.0,24005,24005,-1.0,1,0,0
2003-05-20,5.0,24005,24005,-1.0,1,0,0
2002-07-10,7.0,35023,35023,0.0,1,0,0
2002-07-10,7.0,35023,35023,0.0,1,0,0
2003-07-25,5.0,06071,06071,-5.0,1,0,0
2003-07-07,6.0,55025,55025,-2.0,1,0,0
2003-06-26,7.0,55079,55079,0.0,1,0,0
2003-03-06,5.0,36071,36071,-1.0,1,0,0
2003-03-20,8.0,12057,12057,-3.0,1,0,0
2001-03-09,5.0,06037,06037,-6.0,0,1,0
2003-05-15,10.0,29023,29023,0.0,1,0,0
2003-03-08,7.0,55025,55025,-2.0,1,0,0
2003-03-11,9.0,27053,27053,-1.0,1,0,0
2002-09-23,5.0,12005,12005,0.0,1,0,0
2003-03-18,7.0,40037,40037,0.0,1,0,0
2002-12-05,5.0,34031,34031,-2.0,1,0,0
2002-04-12,6.0,34031,34031,-2.0,1,0,0
2002-12-02,5.0,36025,36025,0.0,1,0,0
2002-09-30,6.0,55101,55101,0.0,1,0,0
2002-09-14,12.0,37097,37097,-4.0,1,0,0
2002-10-16,7.0,08005,08005,-1.0,1,0,0
2002-09-24,5.0,01021,01021,-1.0,1,0,0
2002-05-09,6.0,26163,26163,-5.0,1,0,0
2002-07-09,5.0,20191,20191,-1.0,1,0,0
1999-02-13,6.0,42065,42065,0.0,0,1,0
2000-09-01,5.0,42065,42065,0.0,0,1,0
1994-11-22,9.0,41019,41019,-1.0,0,0,1
1999-11-23,5.0,40087,40087,0.0,0,1,0
1999-10-05,5.0,40133,40133,-1.0,0,1,0
1995-09-15,5.0,32001,32001,-2.0,0,0,1
1998-03-06,6.0,34031,34031,-2.0,0,0,1
1998-03-06,6.0,34031,34031,-2.0,0,0,1
1996-11-12,6.0,34029,34029,0.0,0,0,1
1995-12-07,12.0,34017,34017,-2.0,0,0,1
1994-03-02,5.0,34017,34017,-2.0,0,0,1
1996-02-16,5.0,37087,37087,0.0,0,0,1
1995-07-14,5.0,37063,37063,0.0,0,0,1
2000-09-01,5.0,37001,37001,-1.0,0,1,0
2000-09-26,7.0,37197,37197,-1.0,0,1,0
1999-12-22,6.0,37129,37129,-1.0,0,1,0
1999-10-15,5.0,28159,28159,-1.0,0,1,0
1999-04-21,7.0,28049,28049,-1.0,0,1,0
