REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor
2005-06-06,1,37185,-1.0,1,0,0,Warren,-78.10671227,36.39674307,,,,
2005-05-14,2,35057,-1.0,1,0,0,Torrance,-105.8505392,34.64043207,,,,
2005-12-15,1,37159,0.0,1,0,0,Rowan,-80.52501519,35.64030608,,,,
2005-12-09,1,32003,-3.0,1,0,0,Clark,-115.0146087,36.21511541,,,,
2005-07-28,1,34003,-1.0,1,0,0,Bergen,-74.07441147,40.96008351,,,,
2005-12-21,1,34015,1.0,1,0,0,Gloucester,-75.14071747,39.71694144,,,,
2005-10-05,1,04019,0.0,1,0,0,Pima,-111.7896381,32.09723099,,,,
2005-12-06,1,21071,0.0,1,0,0,Floyd,-82.74545562,37.55729538,,,,
2005-11-02,1,12083,1.0,1,0,0,Marion,-82.05662463,29.21028272,,,,
2005-09-30,1,04013,4.0,1,0,0,Maricopa,-112.4908888,33.34875974,,,,
2005-09-30,1,04013,4.0,1,0,0,Maricopa,-112.4908888,33.34875974,,,,
2005-12-15,1,31055,0.0,1,0,0,Douglas,-96.15494428,41.29533784,,,,
2005-09-17,1,06047,0.0,1,0,0,Merced,-120.7175058,37.19189197,,,,
2005-09-26,1,37021,-1.0,1,0,0,Buncombe,-82.53035424,35.6112775,,,,
2005-05-13,1,39043,2.0,1,0,0,Erie,-82.63799692,41.37421463,,,,
2005-07-13,1,26163,-5.0,1,0,0,Wayne,-83.28221321,42.28172038,,,,
2005-10-07,1,24013,0.0,1,0,0,Carroll,-77.02256972,39.56320174,,,,
2005-10-12,1,48365,1.0,1,0,0,Panola,-94.30558387,32.16239924,,,,
2005-07-14,1,48245,0.0,1,0,0,Jefferson,-94.16307113,29.88337578,,,,
2005-10-16,5,55035,2.0,1,0,0,Eau Claire,-91.28609183,44.726614,,,,
2005-07-29,4,32007,1.0,1,0,0,Elko,-115.3578839,41.14601583,,,,
2005-10-23,1,29510,0.0,1,0,0,St. Louis,-90.24484413,38.63654694,,,,
2004-06-30,1,09011,1.0,1,0,0,New London,-72.10232387,41.48708483,,,,
2000-12-11,1,20061,-1.0,0,1,0,Geary,-96.75251853,39.00227253,,,,
2001-04-12,1,20059,0.0,0,1,0,Franklin,-95.28621552,38.56442768,,,,
2005-04-15,2,12127,-1.0,1,0,0,Volusia,-81.18197434,29.05852431,,,,
2005-06-03,2,34023,0.0,1,0,0,Middlesex,-74.41108832,40.43949114,,,,
2005-10-14,2,47093,-1.0,1,0,0,Knox,-83.93759106,35.99332876,,,,
2005-09-21,2,05035,-1.0,1,0,0,Crittenden,-90.30924635,35.20762172,,,,
2005-09-01,2,53037,-3.0,1,0,0,Kittitas,-120.679712,47.12448572,,,,
2005-07-28,1,04013,4.0,1,0,0,Maricopa,-112.4908888,33.34875974,,,,
2005-08-15,1,19103,0.0,1,0,0,Johnson,-91.58679259,41.67150873,,,,
2005-02-01,1,37019,0.0,1,0,0,Brunswick,-78.23791614,34.07037851,,,,
2005-07-16,1,06071,-5.0,1,0,0,San Bernardino,-116.1783784,34.84157876,,,,
2005-08-29,1,05071,-1.0,1,0,0,Johnson,-93.46000035,35.57001766,,,,
2005-08-23,1,25013,2.0,1,0,0,Hampden,-72.63119338,42.13509064,,,,
2005-08-01,1,24031,1.0,1,0,0,Montgomery,-77.20428439,39.13634899,,,,
2005-07-08,1,47043,1.0,1,0,0,Dickson,-87.35658415,36.14932156,,,,
2005-07-26,1,06037,-6.0,1,0,0,Los Angeles,-118.224703,34.32134579,,,,
2005-07-16,1,17091,3.0,1,0,0,Kankakee,-87.86189197,41.13747976,,,,
2005-06-22,1,06013,-1.0,1,0,0,Contra Costa,-121.9281273,37.91933375,,,,
2005-01-29,1,24005,-1.0,1,0,0,Baltimore,-76.63603021,39.4596552,,,,
2004-09-01,1,34001,0.0,1,0,0,Atlantic,-74.66040811,39.47790545,,,,
2005-05-13,1,39043,2.0,1,0,0,Erie,-82.63799692,41.37421463,,,,
2005-06-08,2,06089,1.0,1,0,0,Shasta,-122.0409443,40.76391106,,,,
2005-04-16,1,06101,0.0,1,0,0,Sutter,-121.6946189,39.03464654,,,,
2004-12-27,2,48473,-1.0,1,0,0,Waller,-95.98754906,30.01059467,,,,
2004-09-03,1,06019,1.0,1,0,0,Fresno,-119.6506833,36.75807672,,,,
2004-09-06,3,36087,2.0,1,0,0,Rockland,-74.02389861,41.15225744,,,,
2004-10-24,1,04017,0.0,1,0,0,Navajo,-110.3213121,35.39960537,,,,
2005-03-26,2,29077,-3.0,1,0,0,Greene,-93.34188307,37.25758647,,,,
2005-03-05,1,32003,-3.0,1,0,0,Clark,-115.0146087,36.21511541,,,,
2005-02-13,1,30093,0.0,1,0,0,Silver Bow,-112.6566556,45.90234114,,,,
2004-09-12,1,24021,0.0,1,0,0,Frederick,-77.3978074,39.4720692,,,,
2005-01-17,1,48113,1.0,1,0,0,Dallas,-96.77788947,32.76665041,,,,
2005-01-29,1,29021,-1.0,1,0,0,Buchanan,-94.80618288,39.65989328,,,,
2004-10-23,1,55079,0.0,1,0,0,Milwaukee,-87.96698811,43.00700658,,,,
2004-10-12,1,24027,-1.0,1,0,0,Howard,-76.93099926,39.25078653,,,,
2004-11-27,1,40135,0.0,1,0,0,Sequoyah,-94.75507825,35.49549888,,,,
2004-05-18,1,24005,-1.0,1,0,0,Baltimore,-76.63603021,39.4596552,,,,
2004-09-21,1,40109,2.0,1,0,0,Oklahoma,-97.4075036,35.55141319,,,,
2004-10-27,1,40149,0.0,1,0,0,Washita,-98.99166621,35.29031759,,,,
2004-09-24,1,20021,0.0,1,0,0,Cherokee,-94.84624572,37.16921917,,,,
2004-09-13,1,36099,0.0,1,0,0,Seneca,-76.82362358,42.78068586,,,,
2004-10-15,2,45075,0.0,1,0,0,Orangeburg,-80.80086358,33.43921301,,,,
2004-01-27,1,24015,1.0,1,0,0,Cecil,-75.94133759,39.57067423,,,,
2003-06-13,1,25027,1.0,1,0,0,Worcester,-71.90780992,42.35111931,,,,
2003-09-15,2,25009,0.0,1,0,0,Essex,-70.9515844,42.67174524,,,,
2004-08-27,1,06029,1.0,1,0,0,Kern,-118.72959,35.34292819,,,,
2004-07-15,1,06037,-6.0,1,0,0,Los Angeles,-118.224703,34.32134579,,,,
2004-08-05,1,48423,0.0,1,0,0,Smith,-95.26908279,32.37521162,,,,
2004-06-29,5,20115,0.0,1,0,0,Marion,-97.09712874,38.35899873,,,,
2004-06-29,5,20115,0.0,1,0,0,Marion,-97.09712874,38.35899873,,,,
2003-07-07,1,37071,0.0,1,0,0,Gaston,-81.18014844,35.29432138,,,,
2004-01-25,2,37119,0.0,1,0,0,Mecklenburg,-80.83268027,35.24675454,,,,
2004-08-03,1,19045,1.0,1,0,0,Clinton,-90.53221937,41.89809865,,,,
2003-12-09,1,20053,0.0,1,0,0,Ellsworth,-98.20501891,38.6967292,,,,
2004-05-27,1,45051,5.0,1,0,0,Horry,-78.99657939,33.92139357,,,,
2003-09-23,2,48037,-1.0,1,0,0,Bowie,-94.42378182,33.44693757,,,,
2004-05-29,1,20063,0.0,1,0,0,Gove,-100.4829436,38.91587321,,,,
2004-06-08,1,06065,2.0,1,0,0,Riverside,-115.9939021,33.74329781,,,,
2004-06-04,1,17031,5.0,1,0,0,Cook,-87.81698762,41.84005007,,,,
2004-05-27,1,30097,0.0,1,0,0,Sweet Grass,-109.939664,45.813756,,,,
2003-07-17,1,36081,-2.0,1,0,0,Queens,-73.81734511,40.70829859,,,,
2004-01-26,1,26151,0.0,1,0,0,Sanilac,-82.82063341,43.4237632,,,,
2003-07-17,1,36081,-2.0,1,0,0,Queens,-73.81734511,40.70829859,,,,
2003-07-17,1,36081,-2.0,1,0,0,Queens,-73.81734511,40.70829859,,,,
2003-08-27,1,36111,1.0,1,0,0,Ulster,-74.25878826,41.888126,,,,
2003-12-30,1,06027,0.0,1,0,0,Inyo,-117.4113187,36.51173415,,,,
2004-03-20,2,48245,0.0,1,0,0,Jefferson,-94.16307113,29.88337578,,,,
2004-03-30,1,21099,1.0,1,0,0,Hart,-85.88446619,37.29970852,,,,
2004-01-26,1,26151,0.0,1,0,0,Sanilac,-82.82063341,43.4237632,,,,
2004-03-13,1,45041,2.0,1,0,0,Florence,-79.70224581,34.02447241,,,,
2003-10-28,1,16039,-1.0,1,0,0,Elmore,-115.4691486,43.35417471,,,,
2003-10-04,1,16001,0.0,1,0,0,Ada,-116.241035,43.45084054,,,,
2004-01-15,1,21151,-1.0,1,0,0,Madison,-84.27808893,37.71989076,,,,
2000-09-11,1,06037,-6.0,0,1,0,Los Angeles,-118.224703,34.32134579,,,,
2004-01-08,1,48407,-1.0,1,0,0,San Jacinto,-95.1671992,30.57936685,,,,
2003-06-11,1,26159,0.0,1,0,0,Van Buren,-86.01839482,42.25166438,,,,
2003-10-24,1,34027,-2.0,1,0,0,Morris,-74.54440839,40.86163004,,,,
2003-12-21,1,06023,-1.0,1,0,0,Humboldt,-123.8755258,40.69940115,,,,
2003-10-01,1,26087,2.0,1,0,0,Lapeer,-83.22153148,43.09052506,,,,
2003-12-17,1,17201,-1.0,1,0,0,Winnebago,-89.16084223,42.33630888,,,,
2003-08-14,1,34019,-2.0,1,0,0,Hunterdon,-74.91261058,40.56697742,,,,
2003-11-01,1,24005,-1.0,1,0,0,Baltimore,-76.63603021,39.4596552,,,,
2003-11-08,2,04025,0.0,1,0,0,Yavapai,-112.5538467,34.59969928,,,,
2003-12-21,1,56037,-1.0,1,0,0,Sweetwater,-108.8793882,41.6597625,,,,
2003-12-02,1,29099,1.0,1,0,0,Jefferson,-90.53780688,38.26079127,,,,
2002-07-22,2,34023,0.0,1,0,0,Middlesex,-74.41108832,40.43949114,,,,
2003-10-24,1,24033,-3.0,1,0,0,Prince George's,-76.84739072,38.8299677,,,,
2003-10-02,2,06037,-6.0,1,0,0,Los Angeles,-118.224703,34.32134579,,,,
2003-08-31,1,24033,-3.0,1,0,0,Prince George's,-76.84739072,38.8299677,,,,
2002-08-30,1,39043,2.0,1,0,0,Erie,-82.63799692,41.37421463,,,,
2002-07-10,2,35023,0.0,1,0,0,Hidalgo,-108.7148057,31.91398466,,,,
2002-07-10,2,35023,0.0,1,0,0,Hidalgo,-108.7148057,31.91398466,,,,
2002-05-19,1,19035,1.0,1,0,0,Cherokee,-95.62389402,42.73538914,,,,
2003-01-04,1,09009,-1.0,1,0,0,New Haven,-72.93235204,41.41072833,,,,
2003-03-02,1,23019,0.0,1,0,0,Penobscot,-68.64952115,45.40038149,,,,
2003-08-19,2,23011,-1.0,1,0,0,Kennebec,-69.76757384,44.40901704,,,,
2002-06-25,1,25017,0.0,1,0,0,Middlesex,-71.39262102,42.48584344,,,,
2003-07-25,1,06031,0.0,1,0,0,Kings,-119.8151995,36.07520008,,,,
2003-07-30,1,41061,-1.0,1,0,0,Union,-118.0093556,45.31039084,,,,
2003-01-31,1,34013,-1.0,1,0,0,Essex,-74.24718209,40.78746195,,,,
2001-10-26,1,18071,-1.0,0,1,0,Jackson,-86.03756074,38.90634215,,,,
2001-02-22,1,39139,1.0,0,1,0,Richland,-82.53676639,40.77482478,,,,
2003-05-08,1,06047,0.0,1,0,0,Merced,-120.7175058,37.19189197,,,,
2002-11-17,1,35015,-1.0,1,0,0,Eddy,-104.3041733,32.47155056,,,,
2003-01-28,1,39171,-1.0,1,0,0,Williams,-84.58816167,41.56027968,,,,
2003-06-14,1,17031,5.0,1,0,0,Cook,-87.81698762,41.84005007,,,,
2001-03-09,1,06037,-6.0,0,1,0,Los Angeles,-118.224703,34.32134579,,,,
2001-05-24,1,06113,0.0,0,1,0,Yolo,-121.9015118,38.68648941,,,,
2003-04-16,1,24043,1.0,1,0,0,Washington,-77.81329014,39.60413752,,,,
2002-03-28,1,25027,1.0,1,0,0,Worcester,-71.90780992,42.35111931,,,,
2002-07-01,1,25017,0.0,1,0,0,Middlesex,-71.39262102,42.48584344,,,,
2003-02-07,1,24033,-3.0,1,0,0,Prince George's,-76.84739072,38.8299677,,,,
2002-12-04,1,12127,-1.0,1,0,0,Volusia,-81.18197434,29.05852431,,,,
2002-11-12,1,04003,1.0,1,0,0,Cochise,-109.7510129,31.87959362,,,,
2003-03-10,1,23017,0.0,1,0,0,Oxford,-70.75611419,44.49924446,,,,
2003-02-07,1,19095,0.0,1,0,0,Iowa,-92.06369553,41.68621637,,,,
2003-03-03,1,23027,1.0,1,0,0,Waldo,-69.14427892,44.50136648,,,,
2001-06-20,1,12111,-1.0,0,1,0,St. Lucie,-80.47111892,27.377528,,,,
2002-12-10,1,39143,1.0,1,0,0,Sandusky,-83.14419942,41.35730372,,,,
2002-10-05,1,24005,-1.0,1,0,0,Baltimore,-76.63603021,39.4596552,,,,
2002-10-25,1,24043,1.0,1,0,0,Washington,-77.81329014,39.60413752,,,,
2002-10-30,1,39089,-1.0,1,0,0,Licking,-82.48290477,40.09170112,,,,
2002-10-21,1,39165,0.0,1,0,0,Warren,-84.16728624,39.42735056,,,,
2002-02-14,1,16047,1.0,1,0,0,Gooding,-114.8116615,42.97094353,,,,
2002-02-23,1,06099,-1.0,1,0,0,Stanislaus,-120.9979524,37.55851635,,,,
2002-02-05,3,06019,1.0,1,0,0,Fresno,-119.6506833,36.75807672,,,,
2001-12-24,1,36081,-2.0,0,1,0,Queens,-73.81734511,40.70829859,,,,
2002-10-07,1,29047,-1.0,1,0,0,Clay,-94.42122576,39.31045251,,,,
2001-10-20,1,34023,0.0,0,1,0,Middlesex,-74.41108832,40.43949114,,,,
2002-11-05,1,27147,-2.0,1,0,0,Steele,-93.22627088,44.02240351,,,,
2002-08-29,2,36051,0.0,1,0,0,Livingston,-77.77517835,42.72855751,,,,
2002-08-08,1,13185,0.0,1,0,0,Lowndes,-83.26738819,30.83391096,,,,
2002-05-18,1,04013,4.0,1,0,0,Maricopa,-112.4908888,33.34875974,,,,
1994-01-13,1,44003,0.0,0,0,1,Kent,-71.59305645,41.6720081,,,,
