REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
1970-01-01 00:00:00.020240917,1,24009,0.0,0,0,0,0,Calvert,-76.56882392,38.5437742,S,Containment-Lite,green,Philadelphia (MD),#1f77b4,Reform
1970-01-01 00:00:00.020240917,1,24009,0.0,0,0,0,0,Calvert,-76.56882392,38.5437742,S,Containment-Lite,green,Philadelphia (MD),#1f77b4,Reform
1970-01-01 00:00:00.020240917,1,24009,0.0,0,0,0,0,Calvert,-76.56882392,38.5437742,S,Containment-Lite,green,Philadelphia (MD),#1f77b4,Reform
1970-01-01 00:00:00.020241127,1,37195,0.0,0,0,0,0,Wilson,-77.9189122,35.70531169,S,Middle America,orange,Raleigh,#1f77b4,Traditional
1970-01-01 00:00:00.020241122,1,32003,-3.0,0,0,0,0,Clark,-115.0146087,36.21511541,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240805,1,6001,0.0,0,0,0,0,Alameda,-121.888612,37.64642367,W,Growth Control,green,San Francisco,#d62728,Reform
1970-01-01 00:00:00.020231205,2,6037,-6.0,0,0,0,1,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240729,1,6065,2.0,0,0,0,0,Riverside,-115.9939021,33.74329781,W,Growth Management,green,San Diego,#d62728,Reform
1970-01-01 00:00:00.020241103,1,37081,1.0,0,0,0,0,Guilford,-79.78852575,36.07964464,S,Middle America,orange,Greensboro,#1f77b4,Traditional
1970-01-01 00:00:00.020241011,1,16027,1.0,0,0,0,0,Canyon,-116.7092162,43.6251769,W,High Density,orange,Salt Lake City,#d62728,Traditional
1970-01-01 00:00:00.020241013,1,21093,-2.0,0,0,0,0,Hardin,-85.96366674,37.69820941,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
1970-01-01 00:00:00.020241031,1,47011,1.0,0,0,0,0,Bradley,-84.85962176,35.15369028,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020241020,1,40083,1.0,0,0,0,0,Logan,-97.44308101,35.91913897,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020241018,1,12097,-1.0,0,0,0,0,Osceola,-81.14924253,28.06245875,S,Growth Management,green,Orlando,#1f77b4,Reform
1970-01-01 00:00:00.020241013,1,21213,0.0,0,0,0,0,Simpson,-86.58284235,36.74196569,S,Containment,green,Nashville,#1f77b4,Reform
1970-01-01 00:00:00.020240928,1,55079,0.0,0,0,0,0,Milwaukee,-87.96698811,43.00700658,MW,Middle America,orange,Milwaukee,#f7b6d2,Traditional
1970-01-01 00:00:00.020241009,1,32027,1.0,0,0,0,0,Pershing,-118.4047657,40.43952288,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020240918,1,40017,0.0,0,0,0,0,Canadian,-97.98241218,35.54233821,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020240907,1,56007,1.0,0,0,0,0,Carbon,-106.9303916,41.69413999,W,Growth Control,green,Denver,#d62728,Reform
1970-01-01 00:00:00.020240417,1,6077,1.0,0,0,0,0,San Joaquin,-121.2712102,37.9345275,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020240725,1,53033,-3.0,0,0,0,0,King,-121.8063614,47.49034831,W,Containment,green,Seattle,#d62728,Reform
1970-01-01 00:00:00.020241004,1,1015,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240919,1,26145,-1.0,0,0,0,0,Saginaw,-84.0526996,43.33526107,MW,Middle America,orange,Detroit,#f7b6d2,Traditional
1970-01-01 00:00:00.020240914,1,21145,-1.0,0,0,0,0,McCracken,-88.71249008,37.05384925,S,Containment,green,Nashville,#1f77b4,Reform
1970-01-01 00:00:00.020240606,2,4005,0.0,0,0,0,1,Coconino,-111.7705493,35.83875351,W,Growth Management,green,Phoenix,#d62728,Reform
1970-01-01 00:00:00.020240830,1,39061,-2.0,0,0,0,0,Hamilton,-84.54309843,39.19557749,S,Middle America,orange,Cincinnati (KY),#1f77b4,Traditional
1970-01-01 00:00:00.020240911,1,1125,1.0,0,0,0,0,Tuscaloosa,-87.52558359,33.28952146,S,Containment,green,Nashville,#1f77b4,Reform
1970-01-01 00:00:00.020231129,1,36013,-1.0,0,0,0,0,Chautauqua,-79.36664149,42.22817594,NE,Middle America,orange,Buffalo,#9edae5,Traditional
1970-01-01 00:00:00.020231129,1,36013,-1.0,0,0,0,0,Chautauqua,-79.36664149,42.22817594,NE,Middle America,orange,Buffalo,#9edae5,Traditional
1970-01-01 00:00:00.020240829,1,51149,1.0,0,0,0,0,Prince George,-77.22446275,37.18648609,S,Middle America,orange,Richmond,#1f77b4,Traditional
1970-01-01 00:00:00.020240818,1,12109,0.0,0,0,0,0,St. Johns,-81.4405388,29.90168542,S,Growth Management,green,Jacksonville,#1f77b4,Reform
1970-01-01 00:00:00.020240814,1,29510,0.0,0,0,0,0,St. Louis,-90.24484413,38.63654694,MW,Middle America,orange,St. Louis (MO),#f7b6d2,Traditional
1970-01-01 00:00:00.020240822,1,37119,0.0,0,0,0,0,Mecklenburg,-80.83268027,35.24675454,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240402,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240818,1,32031,-1.0,0,0,0,0,Washoe,-119.6643222,40.66566815,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020240225,1,6073,-1.0,0,0,0,0,San Diego,-116.7353982,33.03386576,W,Growth Management,green,San Diego,#d62728,Reform
1970-01-01 00:00:00.020240802,1,12011,1.0,0,0,0,0,Broward,-80.48723143,26.15220703,S,Growth Management,green,Miami,#1f77b4,Reform
1970-01-01 00:00:00.020240812,1,41051,-1.0,0,0,0,0,Multnomah,-122.4157429,45.54693681,W,Containment,green,Portland (WA),#d62728,Reform
1970-01-01 00:00:00.020240810,1,45055,0.0,0,0,0,0,Kershaw,-80.5903514,34.33859234,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020221007,1,39025,0.0,0,0,0,0,Clermont,-84.15193439,39.04742036,MW,Middle America,orange,Cincinnati (OH),#f7b6d2,Traditional
1970-01-01 00:00:00.020220607,1,6071,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240712,1,4013,4.0,0,0,0,0,Maricopa,-112.4908888,33.34875974,W,Growth Management,green,Phoenix,#d62728,Reform
1970-01-01 00:00:00.020220214,1,39155,1.0,0,0,0,0,Trumbull,-80.76110735,41.31734436,MW,Middle America,orange,Cleveland,#f7b6d2,Traditional
1970-01-01 00:00:00.020240731,1,45059,0.0,0,0,0,0,Laurens,-82.00535135,34.48372258,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240614,1,53053,2.0,0,0,0,0,Pierce,-122.1122121,47.02680625,W,Containment,green,Seattle,#d62728,Reform
1970-01-01 00:00:00.020240606,2,4005,0.0,0,0,0,1,Coconino,-111.7705493,35.83875351,W,Growth Management,green,Phoenix,#d62728,Reform
1970-01-01 00:00:00.020221123,1,39095,2.0,0,0,0,0,Lucas,-83.65545282,41.62064794,MW,Middle America,orange,Detroit,#f7b6d2,Traditional
1970-01-01 00:00:00.020220629,1,39049,0.0,0,0,0,0,Franklin,-83.0091231,39.96927249,MW,Middle America,orange,Columbus,#f7b6d2,Traditional
1970-01-01 00:00:00.020221123,1,12099,2.0,0,0,0,0,Palm Beach,-80.46503899,26.64741122,S,Growth Management,green,West Palm Beach,#1f77b4,Reform
1970-01-01 00:00:00.020240622,2,37153,-1.0,0,0,0,1,Richmond,-79.74711644,35.00590629,S,Middle America,orange,Greensboro,#1f77b4,Traditional
1970-01-01 00:00:00.020240720,1,5123,-3.0,0,0,0,0,St. Francis,-90.74840472,35.02180511,S,Containment,green,Memphis (AR),#1f77b4,Reform
1970-01-01 00:00:00.020240515,1,45033,1.0,0,0,0,0,Dillon,-79.37858369,34.39138915,S,Middle America,orange,Raleigh,#1f77b4,Traditional
1970-01-01 00:00:00.020221126,1,40145,0.0,0,0,0,0,Wagoner,-95.52115154,35.96138606,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020240328,2,6037,-6.0,0,0,0,1,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020220903,1,40081,0.0,0,0,0,0,Lincoln,-96.88123961,35.7027284,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020220809,1,40143,0.0,0,0,0,0,Tulsa,-95.94143178,36.12121947,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020240625,1,39017,-2.0,0,0,0,0,Butler,-84.57607723,39.43897921,S,Middle America,orange,Cincinnati (KY),#1f77b4,Traditional
1970-01-01 00:00:00.020220318,1,9009,-1.0,0,0,0,0,New Haven,-72.93235204,41.41072833,NE,Middle America,orange,New Haven,#9edae5,Traditional
1970-01-01 00:00:00.020240701,1,47037,1.0,0,0,0,0,Davidson,-86.78502875,36.16932462,S,Containment,green,Nashville,#1f77b4,Reform
1970-01-01 00:00:00.020231015,1,6107,0.0,0,0,0,0,Tulare,-118.8004216,36.22081997,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240620,1,53033,-3.0,0,0,0,0,King,-121.8063614,47.49034831,W,Containment,green,Seattle,#d62728,Reform
1970-01-01 00:00:00.020240621,2,51153,-1.0,0,0,0,1,Prince William,-77.48028729,38.70276099,S,Containment-Lite,green,Washington (DC),#1f77b4,Reform
1970-01-01 00:00:00.020240618,1,45063,1.0,0,0,0,0,Lexington,-81.27229853,33.90217281,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240405,1,34013,-1.0,0,0,0,0,Essex,-74.24718209,40.78746195,NE,High Density,orange,New York (NY),#9edae5,Traditional
1970-01-01 00:00:00.020240614,1,21029,0.0,0,0,0,0,Bullitt,-85.69808753,37.97000785,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
1970-01-01 00:00:00.020240509,1,36055,1.0,0,0,0,0,Monroe,-77.69595887,43.14694904,NE,Middle America,orange,Rochester,#9edae5,Traditional
1970-01-01 00:00:00.020240601,1,45079,-2.0,0,0,0,0,Richland,-80.90384361,34.02226754,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240427,1,22061,1.0,0,0,0,0,Lincoln,-92.66473671,32.60149394,S,Containment,green,Memphis (AR),#1f77b4,Reform
1970-01-01 00:00:00.020240101,1,26163,-5.0,0,0,0,0,Wayne,-83.28221321,42.28172038,MW,Middle America,orange,Detroit,#f7b6d2,Traditional
1970-01-01 00:00:00.020240603,1,47037,1.0,0,0,0,0,Davidson,-86.78502875,36.16932462,S,Containment,green,Nashville,#1f77b4,Reform
1970-01-01 00:00:00.020240405,1,31105,-1.0,0,0,0,0,Kimball,-103.7149939,41.19760039,W,Growth Control,green,Denver,#d62728,Reform
1970-01-01 00:00:00.020240518,1,32015,0.0,0,0,0,0,Lander,-117.0390723,39.93361994,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020220418,1,34033,2.0,0,0,0,0,Salem,-75.34910669,39.58787069,NE,Middle America,orange,Philadelphia (PA),#9edae5,Traditional
1970-01-01 00:00:00.020240326,1,6033,0.0,0,0,0,0,Lake,-122.7532352,39.0996887,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020240518,1,1073,-3.0,0,0,0,0,Jefferson,-86.89657084,33.5543433,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240308,1,6071,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240425,2,6073,-1.0,0,0,0,1,San Diego,-116.7353982,33.03386576,W,Growth Management,green,San Diego,#d62728,Reform
1970-01-01 00:00:00.020231217,1,6031,0.0,0,0,0,0,Kings,-119.8151995,36.07520008,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240421,1,31019,0.0,0,0,0,0,Buffalo,-99.07510068,40.85504881,MW,Middle America,orange,Kansas City (KS),#f7b6d2,Traditional
1970-01-01 00:00:00.020240331,1,40143,0.0,0,0,0,0,Tulsa,-95.94143178,36.12121947,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020230716,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240429,1,21029,0.0,0,0,0,0,Bullitt,-85.69808753,37.97000785,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
1970-01-01 00:00:00.020240426,1,1015,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240403,2,22097,-1.0,0,0,0,1,St. Landry,-92.00579532,30.59908084,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
1970-01-01 00:00:00.020230601,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240405,2,6071,-5.0,0,0,0,1,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240413,3,45079,-2.0,0,0,0,1,Richland,-80.90384361,34.02226754,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240414,1,37071,0.0,0,0,0,0,Gaston,-81.18014844,35.29432138,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240328,1,37091,1.0,0,0,0,0,Hertford,-76.98162611,36.35892018,S,Middle America,orange,Norfolk (VA),#1f77b4,Traditional
1970-01-01 00:00:00.020240316,1,17043,4.0,0,0,0,0,DuPage,-88.08563421,41.85173736,MW,Middle America,orange,Chicago (IL),#f7b6d2,Traditional
1970-01-01 00:00:00.020240404,1,45007,-3.0,0,0,0,0,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
