Metropolitan Area or Part,Region,Family,Latitude,Longitude
Atlanta,S,Middle America,33.7501275,-84.3885209
Austin,S,Austin,30.267153,-97.7430608
Boston (MA),NE,Exclusion with Restriction,42.3555076,-71.0565364
Boston (NH),NE,Extreme Exclusion,42.9761945,-71.69396259999999
Buffalo,NE,Middle America,42.88644679999999,-78.8783689
Charlotte (NC),S,Middle America,35.2270869,-80.8431267
Charlotte (SC),S,*,35.2270869,-80.8431267
Chicago (IL),MW,Middle America,41.8781136,-87.6297982
Chicago (IN),MW,Middle America,41.63920239999999,-87.4547635
Chicago (WI),MW,Middle America,41.8781136,-87.6297982
Cincinnati (IN),MW,*,39.0200468,-86.72889099999999
Cincinnati (KY),S,Middle America,39.1091274,-84.5222189
Cincinnati (OH),MW,Middle America,39.1031182,-84.5120196
Cleveland,MW,Middle America,41.49932,-81.6943605
Columbus,MW,Middle America,39.9611755,-82.99879419999999
Dallas,S,Dallas-San Antonio,32.7766642,-96.79698789999999
Denver,W,Growth Control,39.7392358,-104.990251
Detroit,MW,Middle America,42.331427,-83.0457538
Grand Rapids,MW,Middle America,42.9633599,-85.6680863
Greensboro,S,Middle America,36.0725632,-79.791534
Hartford,NE,Middle America,41.7658043,-72.6733723
Houston,S,Houston,29.7600771,-95.37011079999999
Indianapolis,MW,Middle America,39.76909,-86.158018
Jacksonville,S,Growth Management,30.3321838,-81.65565099999999
Kansas City (KS),MW,Middle America,39.11553139999999,-94.62678729999999
Kansas City (MO),MW,Middle America,39.0997265,-94.5785667
Las Vegas (AZ),W,Containment,36.171563,-115.1391009
Las Vegas (NV),W,Containment-Lite,36.171563,-115.1391009
Los Angeles,W,Growth Management,34.0549076,-118.242643
Louisville (IN),MW,Middle America,38.2468618,-85.7663724
Louisville (KY),S,Middle America,38.2468618,-85.7663724
Memphis (AR),S,*,35.1465418,-90.18478619999999
Memphis (MS),S,*,35.1495343,-90.0489801
Memphis (TN),S,Containment,35.1495343,-90.0489801
Miami,S,Growth Management,25.7616798,-80.1917902
Milwaukee,MW,Middle America,43.0389025,-87.9064736
Minneapolis (MN),MW,Middle America,44.977753,-93.2650108
Minneapolis (WI),MW,Basic Exclusion,44.977753,-93.2650108
Nashville,S,Containment,36.1626638,-86.7816016
New Haven,NE,Middle America,41.308274,-72.9278835
New Orleans,S,Containment-Lite,29.9508941,-90.07583559999999
New York (NJ),NE,Basic Exclusion,40.7127753,-74.0059728
New York (NY),NE,High Density,40.7127753,-74.0059728
New York (PA),NE,*,41.2033216,-77.1945247
Norfolk (NC),S,*,36.8507689,-76.28587259999999
Norfolk (VA),S,Middle America,36.8507689,-76.28587259999999
Oklahoma City,S,Middle America,35.4675602,-97.5164276
Orlando,S,Growth Management,28.5383832,-81.3789269
Philadelphia (DE),S,*,39.9525839,-75.1652215
Philadelphia (MD),S,*,39.0457549,-76.64127119999999
Philadelphia (PA),NE,Middle America,39.9525839,-75.1652215
Philadelphia (NJ),NE,Basic Exclusion,44.15450449999999,-75.70882379999999
Phoenix,W,Growth Management,33.4483771,-112.0740373
Pittsburgh,NE,Middle America,40.44062479999999,-79.9958864
Portland (OR),W,Containment,45.515232,-122.6783853
Portland (WA),W,*,45.515232,-122.6783853
Raleigh,S,Middle America,35.7795897,-78.6381787
Richmond,S,Middle America,37.5407246,-77.4360481
Rochester,NE,Middle America,43.15657789999999,-77.6088465
Sacramento,W,Growth Management,38.5781342,-121.4944209
Salt Lake City,W,High Density,40.7607793,-111.8910474
San Antonio,S,Dallas-San Antonio,29.4251905,-98.4945922
San Diego,W,Growth Management,32.715738,-117.1610838
San Francisco,W,Growth Control,37.7749295,-122.4194155
Seattle,W,Containment,47.6061389,-122.3328481
St. Louis (IL),MW,Middle America,38.624514,-90.1506465
St. Louis (MO),MW,Middle America,38.6270025,-90.19940419999999
Tampa,S,Growth Management,27.9516896,-82.45875269999999
Washington (DC),S,*,38.9071923,-77.0368707
Washington (MD),S,Containment-Lite,39.6130477,-77.69941969999999
Washington (VA),S,Middle America,38.7134301,-78.1590813
Washington (WV),S,*,39.244853,-81.6637765
West Palm Beach,S,Growth Management,26.7144532,-80.0549456
