REPORT_DATE,FATALITIES,STATE,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2024-10-17,0,CA,06037,0.0,0.0,-2.0,0.0,-6.0,0,0,0
2024-11-17,0,CA,06019,0.0,-1.0,0.0,0.0,1.0,0,0,0
2024-12-06,0,ID,16001,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-22,0,ID,16001,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-05,0,IL,17159,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-16,0,SC,45041,0.0,0.0,0.0,0.0,2.0,0,0,0
2024-11-20,0,SC,45045,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-04,0,NH,33015,-1.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-15,0,DE,10003,0.0,0.0,-1.0,0.0,0.0,0,0,0
2024-11-16,0,DE,10003,0.0,0.0,-1.0,0.0,0.0,0,0,0
2024-11-16,0,DE,10001,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-10-05,0,CA,06067,-1.0,0.0,0.0,0.0,-1.0,0,0,0
2024-12-06,0,OR,41035,1.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-05,0,AZ,04019,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-12,0,WI,55027,0.0,0.0,0.0,-1.0,-1.0,0,0,0
2024-11-13,0,WI,55069,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-13,0,NC,37183,0.0,0.0,0.0,0.0,-3.0,0,0,0
2024-12-09,0,NC,37119,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-27,0,GA,13129,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-24,0,GA,13299,-1.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-02,0,FL,12099,1.0,-1.0,0.0,0.0,2.0,0,0,0
2024-11-23,0,FL,12053,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-05,0,FL,12101,0.0,0.0,-1.0,0.0,1.0,0,0,0
2024-12-11,0,AR,05029,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-11,0,WA,53071,0.0,-1.0,0.0,0.0,-1.0,0,0,0
2024-11-26,0,ID,16067,1.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-12,0,TN,47157,0.0,1.0,0.0,-1.0,-1.0,0,0,0
2024-12-09,0,NV,32007,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-08-31,0,CO,08043,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-15,0,WI,55133,0.0,0.0,0.0,0.0,-1.0,0,0,0
2024-11-21,0,MI,26099,0.0,-2.0,0.0,0.0,-4.0,0,0,0
2024-11-03,0,MI,26163,-5.0,-2.0,-2.0,1.0,-5.0,0,0,0
2024-07-05,0,MI,26163,-5.0,-2.0,-2.0,1.0,-5.0,0,0,0
2024-12-10,0,IL,17097,0.0,0.0,0.0,0.0,2.0,0,0,0
2024-12-08,0,IL,17051,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-10-31,0,SC,45045,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-02,0,SC,45071,-1.0,1.0,0.0,0.0,0.0,0,0,0
2024-06-10,0,SC,45045,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-05-13,0,SC,45045,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-03,0,NC,37119,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-23,0,GA,13135,0.0,0.0,1.0,0.0,1.0,0,0,0
2024-11-22,0,GA,13151,-1.0,0.0,0.0,0.0,-2.0,0,0,0
2024-12-06,0,FL,12081,0.0,0.0,0.0,1.0,1.0,0,0,0
2024-11-24,0,NJ,34039,0.0,0.0,0.0,-1.0,-3.0,0,0,0
2024-08-19,0,NJ,34001,0.0,-2.0,0.0,0.0,0.0,0,0,0
2024-10-22,0,NJ,34039,0.0,0.0,0.0,-1.0,-3.0,0,0,0
2024-06-18,0,NJ,34003,0.0,-1.0,0.0,0.0,-1.0,0,0,0
2024-07-02,0,NJ,34017,-1.0,-1.0,0.0,-1.0,-2.0,0,0,0
2024-11-27,0,MA,25013,0.0,0.0,0.0,0.0,2.0,0,0,0
2024-11-05,0,CA,06019,0.0,-1.0,0.0,0.0,1.0,0,0,0
2024-11-29,0,OH,39055,0.0,0.0,0.0,0.0,1.0,0,0,0
2024-12-04,0,OH,39007,0.0,0.0,-1.0,0.0,0.0,0,0,0
2024-09-28,0,OK,40101,0.0,0.0,0.0,1.0,3.0,0,0,0
2024-11-24,0,KY,21125,0.0,0.0,1.0,0.0,0.0,0,0,0
2024-12-07,0,AL,01089,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-04,0,AL,01081,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-12-04,0,AL,01117,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-07,0,DE,10003,0.0,0.0,-1.0,0.0,0.0,0,0,0
2024-11-18,0,CA,06037,0.0,0.0,-2.0,0.0,-6.0,0,0,0
2024-10-26,0,CA,06067,-1.0,0.0,0.0,0.0,-1.0,0,0,0
2024-11-09,0,CA,06037,0.0,0.0,-2.0,0.0,-6.0,0,0,0
2024-12-04,0,NE,31047,0.0,0.0,0.0,-1.0,0.0,0,0,0
2024-12-03,0,MO,29121,0.0,0.0,0.0,1.0,-1.0,0,0,0
2024-12-02,0,IL,17031,0.0,0.0,1.0,0.0,5.0,0,0,0
2024-11-25,0,IL,17113,0.0,0.0,-1.0,1.0,2.0,0,0,0
2024-11-22,0,IL,17089,0.0,0.0,0.0,0.0,-2.0,0,0,0
2024-11-20,0,GA,13121,0.0,0.0,-1.0,0.0,-1.0,0,0,0
2024-11-20,0,GA,13209,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-18,0,GA,13045,0.0,-1.0,0.0,0.0,1.0,0,0,0
2024-11-24,0,AL,01003,-1.0,0.0,0.0,0.0,-2.0,0,0,0
