REPORT_DATE,FATALITIES,STATE,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
2024-09-17,1,MD,24009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Calvert,-76.56882392,38.5437742,S,Containment-Lite,green,Philadelphia (MD),#1f77b4,Reform
2024-09-17,1,MD,24009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Calvert,-76.56882392,38.5437742,S,Containment-Lite,green,Philadelphia (MD),#1f77b4,Reform
2024-09-17,1,MD,24009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Calvert,-76.56882392,38.5437742,S,Containment-Lite,green,Philadelphia (MD),#1f77b4,Reform
2024-11-27,1,NC,37195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Wilson,-77.9189122,35.70531169,S,Middle America,orange,Raleigh,#1f77b4,Traditional
2024-11-22,1,NV,32003,0.0,-2.0,0.0,0.0,-3.0,0,0,0,0,Clark,-115.0146087,36.21511541,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-08-05,1,CA,6001,0.0,0.0,1.0,0.0,0.0,0,0,0,0,Alameda,-121.888612,37.64642367,W,Growth Control,green,San Francisco,#d62728,Reform
2023-12-05,2,CA,6037,0.0,0.0,-2.0,0.0,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
2024-07-29,1,CA,6065,0.0,0.0,0.0,-1.0,2.0,0,0,0,0,Riverside,-115.9939021,33.74329781,W,Growth Management,green,San Diego,#d62728,Reform
2024-11-03,1,NC,37081,0.0,0.0,-1.0,0.0,1.0,0,0,0,0,Guilford,-79.78852575,36.07964464,S,Middle America,orange,Greensboro,#1f77b4,Traditional
2024-10-11,1,ID,16027,0.0,0.0,0.0,1.0,1.0,0,0,0,0,Canyon,-116.7092162,43.6251769,W,High Density,orange,Salt Lake City,#d62728,Traditional
2024-10-13,1,KY,21093,0.0,-1.0,0.0,0.0,-2.0,0,0,0,0,Hardin,-85.96366674,37.69820941,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
2024-10-31,1,TN,47011,1.0,-1.0,0.0,0.0,1.0,0,0,0,0,Bradley,-84.85962176,35.15369028,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-10-20,1,OK,40083,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Logan,-97.44308101,35.91913897,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2024-10-18,1,FL,12097,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Osceola,-81.14924253,28.06245875,S,Growth Management,green,Orlando,#1f77b4,Reform
2024-10-13,1,KY,21213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Simpson,-86.58284235,36.74196569,S,Containment,green,Nashville,#1f77b4,Reform
2024-09-28,1,WI,55079,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Milwaukee,-87.96698811,43.00700658,MW,Middle America,orange,Milwaukee,#f7b6d2,Traditional
2024-10-09,1,NV,32027,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Pershing,-118.4047657,40.43952288,W,Growth Management,green,Sacramento,#d62728,Reform
2024-09-18,1,OK,40017,0.0,0.0,0.0,1.0,0.0,0,0,0,0,Canadian,-97.98241218,35.54233821,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2024-09-07,1,WY,56007,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Carbon,-106.9303916,41.69413999,W,Growth Control,green,Denver,#d62728,Reform
2024-04-17,1,CA,6077,0.0,1.0,0.0,1.0,1.0,0,0,0,0,San Joaquin,-121.2712102,37.9345275,W,Growth Management,green,Sacramento,#d62728,Reform
2024-07-25,1,WA,53033,0.0,0.0,0.0,0.0,-3.0,0,0,0,0,King,-121.8063614,47.49034831,W,Containment,green,Seattle,#d62728,Reform
2024-10-04,1,AL,1015,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-09-19,1,MI,26145,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Saginaw,-84.0526996,43.33526107,MW,Middle America,orange,Detroit,#f7b6d2,Traditional
2024-09-14,1,KY,21145,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,McCracken,-88.71249008,37.05384925,S,Containment,green,Nashville,#1f77b4,Reform
2024-06-06,2,AZ,4005,-1.0,1.0,0.0,1.0,0.0,0,0,0,0,Coconino,-111.7705493,35.83875351,W,Growth Management,green,Phoenix,#d62728,Reform
2024-08-30,1,OH,39061,0.0,0.0,0.0,0.0,-2.0,0,0,0,0,Hamilton,-84.54309843,39.19557749,S,Middle America,orange,Cincinnati (KY),#1f77b4,Traditional
2024-09-11,1,AL,1125,-1.0,2.0,0.0,0.0,1.0,0,0,0,0,Tuscaloosa,-87.52558359,33.28952146,S,Containment,green,Nashville,#1f77b4,Reform
2023-11-29,1,NY,36013,0.0,-1.0,0.0,0.0,-1.0,0,0,0,0,Chautauqua,-79.36664149,42.22817594,NE,Middle America,orange,Buffalo,#9edae5,Traditional
2023-11-29,1,NY,36013,0.0,-1.0,0.0,0.0,-1.0,0,0,0,0,Chautauqua,-79.36664149,42.22817594,NE,Middle America,orange,Buffalo,#9edae5,Traditional
2024-08-29,1,VA,51149,1.0,0.0,0.0,0.0,1.0,0,0,0,0,Prince George,-77.22446275,37.18648609,S,Middle America,orange,Richmond,#1f77b4,Traditional
2024-08-18,1,FL,12109,0.0,0.0,0.0,0.0,0.0,0,0,0,0,St. Johns,-81.4405388,29.90168542,S,Growth Management,green,Jacksonville,#1f77b4,Reform
2024-08-14,1,MO,29510,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,St. Louis,-90.24484413,38.63654694,MW,Middle America,orange,St. Louis (MO),#f7b6d2,Traditional
2024-08-22,1,NC,37119,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Mecklenburg,-80.83268027,35.24675454,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2024-04-02,1,CA,6037,0.0,0.0,-2.0,0.0,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
