REPORT_DATE,FATALITIES,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2005-12-21,1,34015,34015,1.0,1,0,0
2005-11-02,1,12083,12083,1.0,1,0,0
2005-09-30,1,04013,04013,4.0,1,0,0
2005-09-30,1,04013,04013,4.0,1,0,0
2005-05-13,1,39043,39043,2.0,1,0,0
2005-10-12,1,48365,48365,1.0,1,0,0
2005-10-16,5,55035,55035,2.0,1,0,0
2005-07-29,4,32007,32007,1.0,1,0,0
2004-06-30,1,09011,09011,1.0,1,0,0
2005-07-28,1,04013,04013,4.0,1,0,0
2005-08-23,1,25013,25013,2.0,1,0,0
2005-08-01,1,24031,24031,1.0,1,0,0
2005-07-08,1,47043,47043,1.0,1,0,0
2005-07-16,1,17091,17091,3.0,1,0,0
2005-05-13,1,39043,39043,2.0,1,0,0
2005-06-08,2,06089,06089,1.0,1,0,0
2004-09-03,1,06019,06019,1.0,1,0,0
2004-09-06,3,36087,36087,2.0,1,0,0
2005-01-17,1,48113,48113,1.0,1,0,0
2004-09-21,1,40109,40109,2.0,1,0,0
2004-01-27,1,24015,24015,1.0,1,0,0
2003-06-13,1,25027,25027,1.0,1,0,0
2004-08-27,1,06029,06029,1.0,1,0,0
2004-08-03,1,19045,19045,1.0,1,0,0
2004-05-27,1,45051,45051,5.0,1,0,0
2004-06-08,1,06065,06065,2.0,1,0,0
2004-06-04,1,17031,17031,5.0,1,0,0
2003-08-27,1,36111,36111,1.0,1,0,0
2004-03-30,1,21099,21099,1.0,1,0,0
2004-03-13,1,45041,45041,2.0,1,0,0
2003-10-01,1,26087,26087,2.0,1,0,0
2003-12-02,1,29099,29099,1.0,1,0,0
2002-08-30,1,39043,39043,2.0,1,0,0
2002-05-19,1,19035,19035,1.0,1,0,0
2001-02-22,1,39139,39139,1.0,0,1,0
2003-06-14,1,17031,17031,5.0,1,0,0
2003-04-16,1,24043,24043,1.0,1,0,0
2002-03-28,1,25027,25027,1.0,1,0,0
2002-11-12,1,04003,04003,1.0,1,0,0
2003-03-03,1,23027,23027,1.0,1,0,0
2002-12-10,1,39143,39143,1.0,1,0,0
2002-10-25,1,24043,24043,1.0,1,0,0
2002-02-14,1,16047,16047,1.0,1,0,0
2002-02-05,3,06019,06019,1.0,1,0,0
2002-05-18,1,04013,04013,4.0,1,0,0
1995-06-30,2,44007,44007,3.0,0,0,1
1998-08-11,1,42011,42011,1.0,0,0,1
1997-05-27,1,39069,39069,1.0,0,0,1
1995-08-28,1,39005,39005,1.0,0,0,1
1997-09-21,1,36043,36043,1.0,0,0,1
1999-06-10,1,32007,32007,1.0,0,1,0
2000-03-30,3,37127,37127,2.0,0,1,0
1999-03-17,1,29123,29123,1.0,0,1,0
1995-07-22,1,29099,29099,1.0,0,0,1
2000-11-20,1,24025,24025,1.0,0,1,0
1997-06-09,1,24015,24015,1.0,0,0,1
1996-12-17,1,24003,24003,1.0,0,0,1
1996-01-11,1,24043,24043,1.0,0,0,1
1999-10-14,1,24025,24025,1.0,0,1,0
1996-12-22,1,22017,22017,3.0,0,0,1
1995-05-28,1,22027,22027,1.0,0,0,1
1996-01-20,1,22001,22001,2.0,0,0,1
1998-01-16,1,22073,22073,1.0,0,0,1
1998-01-16,1,22073,22073,1.0,0,0,1
1996-06-05,1,21037,21037,1.0,0,0,1
1998-08-28,3,18109,18109,3.0,0,0,1
1996-04-29,1,18053,18053,1.0,0,0,1
2000-08-02,1,18091,18091,1.0,0,1,0
1997-12-03,1,17085,17085,2.0,0,0,1
1998-06-04,1,17113,17113,2.0,0,0,1
1998-04-26,1,17031,17031,5.0,0,0,1
1998-05-27,1,17031,17031,5.0,0,0,1
2001-03-20,3,16047,16047,1.0,0,1,0
1995-10-20,1,19055,19055,2.0,0,0,1
2000-09-11,1,13135,13135,1.0,0,1,0
2000-10-23,1,12115,12115,1.0,0,1,0
2000-10-29,1,12119,12119,1.0,0,1,0
1994-04-12,1,09003,09003,1.0,0,0,1
1999-01-07,1,04013,04013,4.0,0,1,0
1997-04-26,1,04013,04013,4.0,0,0,1
1998-02-16,1,01053,01053,3.0,0,0,1
1994-12-19,1,01053,01053,3.0,0,0,1
2000-02-17,1,01113,01113,1.0,0,1,0
2000-09-01,1,01097,01097,1.0,0,1,0
2000-07-23,1,01047,01047,1.0,0,1,0
2000-06-26,1,01087,01087,1.0,0,1,0
2002-02-13,1,24031,24031,1.0,1,0,0
2001-12-21,1,18039,18039,1.0,0,1,0
2002-03-03,3,40101,40101,3.0,1,0,0
2001-03-23,1,34015,34015,1.0,0,1,0
2002-02-15,1,08123,08123,1.0,1,0,0
2001-11-05,1,37067,37067,1.0,0,1,0
2001-09-25,1,17113,17113,2.0,0,1,0
2001-07-09,1,37109,37109,1.0,0,1,0
2001-07-25,1,47065,47065,1.0,0,1,0
1999-09-17,1,56007,56007,1.0,0,1,0
1998-06-21,1,56007,56007,1.0,0,0,1
1995-04-07,1,56007,56007,1.0,0,0,1
1997-01-22,1,55071,55071,1.0,0,0,1
1998-08-08,1,50021,50021,1.0,0,0,1
1999-02-11,1,48273,48273,1.0,0,1,0
1996-07-15,2,48113,48113,1.0,0,0,1
1995-11-19,2,48359,48359,1.0,0,0,1
1998-10-08,2,47037,47037,1.0,0,0,1
1995-08-27,2,47065,47065,1.0,0,0,1
