REPORT_DATE,FATALITIES,COUNTY_CODE
2005-06-06,1,185
2005-05-14,2,57
2005-12-15,1,159
2005-12-09,1,3
2005-07-28,1,3
2005-12-21,1,15
2005-10-05,1,19
2005-12-06,1,71
2005-11-02,1,83
2005-09-30,1,13
2005-09-30,1,13
2005-12-15,1,55
2005-09-17,1,47
2005-09-26,1,21
2005-05-13,1,43
2005-07-13,1,163
2005-10-07,1,13
2005-10-12,1,365
2005-07-14,1,245
2005-10-16,5,35
2005-07-29,4,7
2005-10-23,1,510
2004-06-30,1,11
2000-12-11,1,61
2001-04-12,1,59
2005-05-14,1,75
2005-04-15,2,127
2005-06-03,2,23
2005-10-14,2,93
2005-09-21,2,35
2005-09-01,2,37
2005-07-28,1,13
2005-08-15,1,103
2005-02-01,1,19
2005-07-16,1,71
2005-08-29,1,71
2005-08-23,1,13
2005-08-01,1,31
2005-07-08,1,43
2005-07-26,1,37
2005-07-16,1,91
2005-06-22,1,13
2005-01-29,1,5
2004-09-01,1,1
2005-05-13,1,43
2005-06-08,2,89
2005-04-16,1,101
2004-12-27,2,473
2004-09-03,1,19
2004-09-06,3,87
2004-10-24,1,17
2005-03-26,2,77
2005-03-05,1,3
2005-02-13,1,93
2004-09-12,1,21
2005-01-17,1,113
2005-01-29,1,21
2004-10-23,1,79
2004-10-12,1,27
2004-11-27,1,135
2004-05-18,1,5
2004-09-21,1,109
2004-10-27,1,149
2004-09-24,1,21
2004-09-13,1,99
2004-10-15,2,75
2004-01-27,1,15
2003-06-13,1,27
2003-09-15,2,9
2004-08-27,1,29
2004-07-15,1,37
2004-08-05,1,423
2004-06-29,5,115
2004-06-29,5,115
2003-07-07,1,71
2004-01-25,2,119
2003-04-01,1,17
2004-08-03,1,45
2003-12-09,1,53
2004-05-27,1,51
2003-09-23,2,37
2004-05-29,1,63
2004-06-08,1,65
2004-06-04,1,31
2004-04-28,1,0
2004-04-28,1,0
2004-05-27,1,97
2003-11-29,1,79
2003-07-17,1,81
2004-03-30,1,59
2004-01-26,1,151
2003-07-17,1,81
2003-07-17,1,81
2003-08-27,1,111
2003-12-30,1,27
2004-03-20,2,245
2004-03-30,1,99
2004-01-26,1,151
2004-03-13,1,41
2003-10-28,1,39
2003-10-04,1,1
2004-01-15,1,151
2000-09-11,1,37
2004-01-08,1,407
2003-06-11,1,159
2003-10-24,1,27
2003-12-21,1,23
2003-10-01,1,87
2003-12-17,1,201
2003-08-14,1,19
2003-11-01,1,5
2003-11-08,2,25
2003-12-21,1,37
