CRASH_ID,REPORT_STATE,REPORT_DATE,REPORT_SEQ_NO,LOCATION,CITY_CODE,CITY,STATE,COUNTY_CODE,CARGO_BODY_TYPE_ID,VEHICLE_IDENTIFICATION_NUMBER,VEHICLE_LICENSE_NUMBER,VEHICLE_CONFIGURATION_ID,VEHICLES_IN_ACCIDENT,FATALITIES,INJURIES,CRASH_EVENT_SEQ_ID_DESC
16303,SD,19960110,1,I29,,RURAL,SD,99.0,3.0,1XP9DB9XX6P202531,PM7606,9.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
16304,SD,19960110,1,I29,,RURAL,SD,99.0,98.0,2FUYDXYBXTA567288,PRJ2704,9.0,4.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;3:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
24017,TN,20000124,1,N.W. BROAD STREET,0.0,MURFREESBORO,TN,149.0,3.0,1HSCAAHN33Y365339,5680HV,7.0,3.0,0,2,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
24018,TN,20000124,1,N.W. BROAD STREET,0.0,MURFREESBORO,TN,149.0,3.0,1HSCAAHN337J05339,5080HV,7.0,3.0,0,2,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
202074,WA,19960203,1,I90 5 MILES NORTH/NORTH BEND,,NORTH BEND,WA,33.0,3.0,1FUYDMDB7TP592740,067972,7.0,3.0,0,2,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:1:NONCOLLISION:RAN OFF ROAD
202075,WA,19960203,1,I90 5 MILES NORTH/NORTH BEND,,NORTH BEND,WA,33.0,3.0,1FUYDMDB7TP592740,06797Z,7.0,2.0,0,1,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:1:NONCOLLISION:RAN OFF ROAD
202076,WA,19960203,1,I90 5 MILES EAST/NORTH BEND,,NORTH BEND,WA,33.0,3.0,1FUYDMDB7TP592740,06797Z,7.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:1:NONCOLLISION:RAN OFF ROAD
225804,WI,19970122,1,HWY 043,14.0,NEWTON,WI,71.0,3.0,1HSRKXZR5KH690769,T72940,9.0,3.0,1,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;3:3:NONCOLLISION:OVERTURN (ROLLOVER);2:12:COLLISION INVOLVING PEDESTRIAN
226081,WI,19970122,1,HWY 043,14.0,NEWTON,WI,71.0,7.0,1HSRKXZRSKH690769,72940,5.0,3.0,0,2,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
239245,WI,20001213,1,N 65 ST,57.0,MILWAUKEE,WI,79.0,2.0,1HVBBNEP4MH317898,43829SB,4.0,3.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
